CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,105770016202400002,202400002,2024-07-08 02:20:00,1122,16,1,2,2,11,1,5002,2024-07-06 02:20:00,2024-07-06 03:20:00,2024-07-07 21:20:00,12.236123,76.562614,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a petrol bunk.
12,105770015202400001,202400001,2024-07-14 04:22:00,1137,15,1,2,2,11,1,5024,2024-07-13 01:22:00,2024-07-13 01:22:00,2024-07-14 02:22:00,12.085528,76.41013,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a vegetable market.
13,105770017202400002,202400002,2024-07-12 05:54:00,1059,17,1,2,2,11,1,5008,2024-07-10 01:54:00,2024-07-10 01:54:00,2024-07-12 04:54:00,12.161099,76.345223,Entry was made through the rear ventilator while the house was locked and the family away. Gold ornaments and cash were taken from the bedroom almirah near a hospital gate.
14,105720003202500002,202500002,2025-04-05 14:32:00,1205,3,1,2,2,12,1,5003,2025-04-04 11:32:00,2025-04-04 14:32:00,2025-04-05 13:32:00,13.011468,77.718908,A two-wheeler parked outside an apartment complex was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the market.
15,105720003202500003,202500003,2025-04-17 12:46:00,1177,3,1,2,2,12,1,5021,2025-04-16 13:46:00,2025-04-16 13:46:00,2025-04-17 12:46:00,13.019152,77.661458,A two-wheeler parked outside a vegetable market was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the highway.
16,105720001202500005,202500005,2025-04-21 10:44:00,1201,1,1,2,2,12,1,5003,2025-04-20 16:44:00,2025-04-20 16:44:00,2025-04-21 06:44:00,12.812538,77.519918,A two-wheeler parked outside a school was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the ring road.
17,105720001202500006,202500006,2025-04-28 03:09:00,1183,1,1,2,2,12,1,5025,2025-04-25 11:09:00,2025-04-25 12:09:00,2025-04-28 00:09:00,12.825645,77.519151,A two-wheeler parked outside a bank ATM was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away into a bylane.
18,105720003202500004,202500004,2025-05-08 11:25:00,1207,3,1,2,2,12,1,5015,2025-05-06 15:25:00,2025-05-06 16:25:00,2025-05-08 09:25:00,13.012413,77.670455,A two-wheeler parked outside a vegetable market was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the market.
19,105720003202500005,202500005,2025-05-22 05:01:00,1169,3,1,2,2,12,1,5004,2025-05-19 11:01:00,2025-05-19 11:01:00,2025-05-21 23:01:00,12.970935,77.714328,A two-wheeler parked outside a bank ATM was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the highway.
20,105720001202500007,202500007,2025-05-30 06:28:00,1245,1,1,2,2,12,1,5002,2025-05-28 14:28:00,2025-05-28 14:28:00,2025-05-30 01:28:00,12.824509,77.536627,A two-wheeler parked outside a bus stop was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away towards the market.
21,105720002202500003,202500003,2025-06-14 00:24:00,1143,2,1,2,2,12,1,5002,2025-06-13 15:24:00,2025-06-13 18:24:00,2025-06-13 22:24:00,12.890198,77.624411,A two-wheeler parked outside a jewellery shop was found missing; the steering lock was snapped. CCTV shows a lone man wheeling it away into a bylane.
22,105840007202400001,202400001,2024-07-29 01:36:00,1046,7,1,1,2,13,1,5002,2024-07-26 02:36:00,2024-07-26 03:36:00,2024-07-28 21:36:00,12.599949,77.35735,"The complainant was waylaid near a bus stop on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled towards the highway."
23,105840008202400001,202400001,2024-08-06 21:01:00,1037,8,1,1,2,13,1,5012,2024-08-05 21:01:00,2024-08-06 00:01:00,2024-08-06 15:01:00,12.754341,77.209953,"The complainant was waylaid near a bus stop on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled into a bylane."
24,105840009202400001,202400001,2024-08-13 02:52:00,1000,9,1,1,2,13,1,5023,2024-08-11 02:52:00,2024-08-11 05:52:00,2024-08-12 21:52:00,12.763207,77.361694,"The complainant was waylaid near a bus stop on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled into the lake-bed area."
25,105840007202400002,202400002,2024-08-22 00:20:00,1034,7,1,1,2,13,1,5012,2024-08-19 23:20:00,2024-08-20 01:20:00,2024-08-21 21:20:00,12.58209,77.340505,"The complainant was waylaid near a bus stop on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled towards the bus stand."
26,105840009202400002,202400002,2024-09-17 04:06:00,1150,9,1,1,2,13,1,5001,2024-09-16 01:06:00,2024-09-16 03:06:00,2024-09-17 01:06:00,12.72632,77.404799,"The complainant was waylaid near a wedding hall on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled towards the highway."
27,105840010202400001,202400001,2024-08-21 01:41:00,1097,10,1,1,2,13,1,5014,2024-08-20 01:41:00,2024-08-20 03:41:00,2024-08-21 01:41:00,12.616235,77.236148,"The complainant was waylaid near a bus stop on the state highway, threatened with a long knife, and robbed of cash and a mobile phone before the accused fled into the lake-bed area."
28,105710024202400001,202400001,2024-02-04 03:13:00,1203,24,1,2,2,11,1,5016,2024-02-03 10:13:00,2024-02-03 13:13:00,2024-02-04 00:13:00,13.343363,76.923796,The front-door padlock was cut during daytime while the occupants were at work. Cash and gold kept near a bus stop were missing on return.
29,105710026202400001,202400001,2024-02-16 19:14:00,1176,26,1,2,2,11,1,5018,2024-02-15 14:14:00,2024-02-15 17:14:00,2024-02-16 13:14:00,13.42833,76.823489,The front-door padlock was cut during daytime while the occupants were at work. Cash and gold kept near a jewellery shop were missing on return.
30,105710023202400001,202400001,2024-03-01 14:07:00,1216,23,1,2,2,11,1,5003,2024-02-29 12:07:00,2024-02-29 15:07:00,2024-03-01 13:07:00,13.492545,76.924522,The front-door padlock was cut during daytime while the occupants were at work. Cash and gold kept near a wedding hall were missing on return.
31,105710025202400001,202400001,2024-03-02 14:58:00,1051,25,1,2,2,11,1,5004,2024-03-01 17:58:00,2024-03-01 17:58:00,2024-03-02 11:58:00,13.412773,76.845651,The front-door padlock was cut during daytime while the occupants were at work. Cash and gold kept near a temple were missing on return.
32,105710024202400002,202400002,2024-03-11 03:09:00,1121,24,1,2,2,11,1,5002,2024-03-10 16:09:00,2024-03-10 19:09:00,2024-03-11 00:09:00,13.346111,76.925185,The front-door padlock was cut during daytime while the occupants were at work. Cash and gold kept near a hospital gate were missing on return.
33,105730012202500001,202500001,2025-05-01 17:58:00,1081,12,1,2,2,10,1,5003,2025-04-28 13:58:00,2025-04-28 15:58:00,2025-05-01 11:58:00,12.56939,76.733721,"In a crowded festival procession near a petrol bunk, a gold chain was snatched from a woman devotee and the accused melted into the crowd towards the ring road."
34,105730013202500001,202500001,2025-05-07 14:23:00,1228,13,1,2,2,10,1,5006,2025-05-06 14:23:00,2025-05-06 17:23:00,2025-05-07 09:23:00,12.526119,76.680576,"In a crowded festival procession near a wedding hall, a gold chain was snatched from a woman devotee and the accused melted into the crowd into the lake-bed area."
35,105730012202500002,202500002,2025-05-17 01:43:00,1004,12,1,2,2,10,1,5016,2025-05-14 13:43:00,2025-05-14 14:43:00,2025-05-16 21:43:00,12.548158,76.777167,"In a crowded festival procession near a park gate, a gold chain was snatched from a woman devotee and the accused melted into the crowd into the residential layout."
36,105730014202500001,202500001,2025-05-28 18:37:00,1144,14,1,2,2,10,1,5010,2025-05-25 16:37:00,2025-05-25 16:37:00,2025-05-28 13:37:00,12.629051,76.728121,"In a crowded festival procession near a bank ATM, a gold chain was snatched from a woman devotee and the accused melted into the crowd towards the market."
37,105730012202500003,202500003,2025-05-19 04:42:00,1214,12,1,2,2,10,1,5013,2025-05-18 16:42:00,2025-05-18 19:42:00,2025-05-18 23:42:00,12.576797,76.748085,"In a crowded festival procession near a school, a gold chain was snatched from a woman devotee and the accused melted into the crowd into a bylane."
38,105730011202500001,202500001,2025-06-29 15:47:00,1157,11,1,2,2,10,1,5014,2025-06-27 12:47:00,2025-06-27 14:47:00,2025-06-29 10:47:00,12.490688,76.7603,"In a crowded festival procession near a jewellery shop, a gold chain was snatched from a woman devotee and the accused melted into the crowd into a bylane."
39,105740034202500001,202500001,2025-02-25 15:26:00,1041,34,1,2,2,10,1,5016,2025-02-24 15:26:00,2025-02-24 17:26:00,2025-02-25 13:26:00,12.960715,76.029112,"Outside a temple gate near a hospital gate, two youths on a scooter snatched a gold chain from an elderly woman and rode off towards the ring road at about 3:26 PM."
40,105740034202500002,202500002,2025-03-11 00:08:00,1002,34,1,2,2,10,1,5002,2025-03-08 11:08:00,2025-03-08 12:08:00,2025-03-10 21:08:00,12.934713,76.046935,"Outside a temple gate near a hospital gate, two youths on a scooter snatched a gold chain from an elderly woman and rode off into the lake-bed area at about 11:08 AM."
41,105740035202500001,202500001,2025-03-11 12:24:00,1148,35,1,2,2,10,1,5015,2025-03-10 11:24:00,2025-03-10 13:24:00,2025-03-11 12:24:00,13.029559,76.04005,"Outside a temple gate near a vegetable market, two youths on a scooter snatched a gold chain from an elderly woman and rode off into the residential layout at about 11:24 AM."
42,105740034202500003,202500003,2025-03-18 10:46:00,1192,34,1,2,2,10,1,5021,2025-03-17 13:46:00,2025-03-17 15:46:00,2025-03-18 08:46:00,12.951638,76.065819,"Outside a temple gate near a temple, two youths on a scooter snatched a gold chain from an elderly woman and rode off into a bylane at about 1:46 PM."
43,105740034202500004,202500004,2025-04-19 01:30:00,1215,34,1,2,2,10,1,5022,2025-04-17 14:30:00,2025-04-17 14:30:00,2025-04-18 20:30:00,12.950115,76.018849,"Outside a temple gate near a government office, two youths on a scooter snatched a gold chain from an elderly woman and rode off into a bylane at about 2:30 PM."
44,105740034202500005,202500005,2025-04-12 07:22:00,1106,34,1,2,2,10,1,5023,2025-04-10 13:22:00,2025-04-10 16:22:00,2025-04-12 06:22:00,12.911335,76.048072,"Outside a temple gate near a government office, two youths on a scooter snatched a gold chain from an elderly woman and rode off into the lake-bed area at about 1:22 PM."
45,105670041202400001,202400001,2024-09-25 20:54:00,1023,41,1,2,2,12,1,5001,2024-09-23 21:54:00,2024-09-23 22:54:00,2024-09-25 17:54:00,14.44545,75.902844,A motorcycle parked near a jewellery shop ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
46,105670044202400001,202400001,2024-10-08 13:53:00,1067,44,1,2,2,12,1,5023,2024-10-05 23:53:00,2024-10-05 23:53:00,2024-10-08 08:53:00,14.53735,75.978075,A motorcycle parked near a petrol bunk ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
47,105670042202400001,202400001,2024-10-17 10:07:00,1268,42,1,2,2,12,1,5025,2024-10-17 01:07:00,2024-10-17 02:07:00,2024-10-17 10:07:00,14.41671,75.935986,A motorcycle parked near a petrol bunk ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
48,105670041202400002,202400002,2024-10-09 23:32:00,1169,41,1,2,2,12,1,5009,2024-10-08 22:32:00,2024-10-08 22:32:00,2024-10-09 23:32:00,14.446224,75.916382,A motorcycle parked near a wedding hall ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
49,105670044202400002,202400002,2024-11-11 19:07:00,1000,44,1,2,2,12,1,5003,2024-11-10 23:07:00,2024-11-11 01:07:00,2024-11-11 16:07:00,14.508923,76.001496,A motorcycle parked near a wedding hall ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
50,105670044202400003,202400003,2024-11-12 07:07:00,1149,44,1,2,2,12,1,5018,2024-11-12 01:07:00,2024-11-12 03:07:00,2024-11-12 05:07:00,14.505491,76.006088,A motorcycle parked near a bank ATM ATM kiosk was lifted after midnight; a duplicate key appears to have been used. No CCTV coverage at the spot.
51,105660045202500001,202500001,2025-03-11 13:59:00,1068,45,1,1,2,13,1,5016,2025-03-08 21:59:00,2025-03-08 21:59:00,2025-03-11 10:59:00,14.220617,76.552644,"On the NH bypass near an apartment complex, lorry and car drivers were stopped, shown a knife, and relieved of cash collections before the gang escaped towards the bus stand."
52,105660047202500001,202500001,2025-03-24 15:56:00,1140,47,1,1,2,13,1,5013,2025-03-22 02:56:00,2025-03-22 04:56:00,2025-03-24 11:56:00,14.099228,76.516486,"On the NH bypass near a school, lorry and car drivers were stopped, shown a knife, and relieved of cash collections before the gang escaped into the lake-bed area."
53,105660046202500001,202500001,2025-03-31 22:45:00,1059,46,1,1,2,13,1,5025,2025-03-28 22:45:00,2025-03-29 00:45:00,2025-03-31 18:45:00,14.123197,76.539574,"On the NH bypass near an apartment complex, lorry and car drivers were stopped, shown a knife, and relieved of cash collections before the gang escaped into a bylane."
54,105660046202500002,202500002,2025-03-31 17:42:00,1128,46,1,1,2,13,1,5005,2025-03-29 21:42:00,2025-03-29 21:42:00,2025-03-31 11:42:00,14.12867,76.579243,"On the NH bypass near a temple, lorry and car drivers were stopped, shown a knife, and relieved of cash collections before the gang escaped towards the highway."
55,105660047202500002,202500002,2025-04-16 12:59:00,1027,47,1,1,2,13,1,5001,2025-04-13 21:59:00,2025-04-13 23:59:00,2025-04-16 06:59:00,14.102822,76.489503,"On the NH bypass near a petrol bunk, lorry and car drivers were stopped, shown a knife, and relieved of cash collections before the gang escaped into the lake-bed area."
56,105550051202400001,202400001,2024-04-17 14:16:00,1079,51,1,2,2,11,1,5002,2024-04-16 02:16:00,2024-04-16 03:16:00,2024-04-17 14:16:00,16.015173,74.866253,"The gang scaled the compound wall near a bus stop and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
57,105550049202400001,202400001,2024-04-29 03:34:00,1169,49,1,2,2,11,1,5012,2024-04-27 02:34:00,2024-04-27 04:34:00,2024-04-29 02:34:00,16.195527,74.946653,"The gang scaled the compound wall near a petrol bunk and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
58,105550048202400001,202400001,2024-05-09 10:34:00,1260,48,1,2,2,11,1,5015,2024-05-08 23:34:00,2024-05-09 02:34:00,2024-05-09 06:34:00,16.019906,74.869399,"The gang scaled the compound wall near a government office and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
59,105550049202400002,202400002,2024-05-20 15:13:00,1169,49,1,2,2,11,1,5002,2024-05-19 21:13:00,2024-05-19 21:13:00,2024-05-20 10:13:00,16.183686,74.908278,"The gang scaled the compound wall near a vegetable market and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
60,105550051202400002,202400002,2024-05-29 21:24:00,1023,51,1,2,2,11,1,5023,2024-05-26 21:24:00,2024-05-26 21:24:00,2024-05-29 21:24:00,16.033824,74.860773,"The gang scaled the compound wall near an apartment complex and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
61,105550048202400002,202400002,2024-06-18 10:34:00,1073,48,1,2,2,11,1,5010,2024-06-15 22:34:00,2024-06-16 00:34:00,2024-06-18 04:34:00,16.018428,74.879645,"The gang scaled the compound wall near a park gate and broke open the rear door with a crowbar, decamping with jewellery and cash while the family slept."
62,105620054202500001,202500001,2025-11-25 09:07:00,1034,54,1,2,2,10,1,5009,2025-11-22 13:07:00,2025-11-22 13:07:00,2025-11-25 04:07:00,15.399665,75.021376,"At the crowded main market near a bus stop, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped towards the market; the pillion wore a helmet."
63,105620053202500001,202500001,2025-12-08 22:44:00,1002,53,1,2,2,10,1,5011,2025-12-06 14:44:00,2025-12-06 15:44:00,2025-12-08 16:44:00,15.387831,75.216368,"At the crowded main market near a hospital gate, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped into a bylane; the pillion wore a helmet."
64,105620053202500002,202500002,2025-12-13 21:31:00,1071,53,1,2,2,10,1,5018,2025-12-12 14:31:00,2025-12-12 15:31:00,2025-12-13 16:31:00,15.405249,75.241178,"At the crowded main market near a vegetable market, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped towards the bus stand; the pillion wore a helmet."
65,105620053202500003,202500003,2026-01-03 00:41:00,1148,53,1,2,2,10,1,5005,2025-12-31 17:41:00,2025-12-31 20:41:00,2026-01-02 23:41:00,15.422337,75.226046,"At the crowded main market near a bus stop, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped towards the flyover; the pillion wore a helmet."
66,105620054202600001,202600001,2026-01-19 13:47:00,1032,54,1,2,2,10,1,5009,2026-01-17 12:47:00,2026-01-17 14:47:00,2026-01-19 13:47:00,15.379814,75.033196,"At the crowded main market near a government office, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped towards the ring road; the pillion wore a helmet."
67,105620053202500004,202500004,2025-12-23 19:53:00,1039,53,1,2,2,10,1,5017,2025-12-22 14:53:00,2025-12-22 16:53:00,2025-12-23 16:53:00,15.408072,75.212588,"At the crowded main market near a government office, a two-wheeler-borne duo snatched a mangalsutra from a shopper and sped into the residential layout; the pillion wore a helmet."
68,105790056202500001,202500001,2025-04-27 10:10:00,1246,56,1,1,1,22,1,5022,2025-04-25 22:10:00,2025-04-26 01:10:00,2025-04-27 07:10:00,17.245985,76.999192,An attempt was made on the complainant's life near a school with a sharp weapon following a land dispute; the assailants fled towards the bus stand on a motorcycle.
69,105790055202500001,202500001,2025-05-11 05:03:00,1009,55,1,1,1,22,1,5024,2025-05-09 22:03:00,2025-05-10 00:03:00,2025-05-11 01:03:00,17.284959,76.782309,An attempt was made on the complainant's life near a bus stop with a sharp weapon following a land dispute; the assailants fled into the residential layout on a motorcycle.
70,105790057202500001,202500001,2025-05-21 09:37:00,1267,57,1,1,1,22,1,5017,2025-05-19 02:37:00,2025-05-19 05:37:00,2025-05-21 06:37:00,17.311759,76.777963,An attempt was made on the complainant's life near a bank ATM with a sharp weapon following a land dispute; the assailants fled towards the highway on a motorcycle.
71,105790058202500001,202500001,2025-06-04 16:23:00,1179,58,1,1,1,22,1,5019,2025-06-03 01:23:00,2025-06-03 01:23:00,2025-06-04 10:23:00,17.196936,76.901786,An attempt was made on the complainant's life near a temple with a sharp weapon following a land dispute; the assailants fled into the lake-bed area on a motorcycle.
72,105790055202500002,202500002,2025-06-22 11:07:00,1209,55,1,1,1,22,1,5012,2025-06-20 02:07:00,2025-06-20 02:07:00,2025-06-22 06:07:00,17.23979,76.794605,An attempt was made on the complainant's life near a vegetable market with a sharp weapon following a land dispute; the assailants fled towards the market on a motorcycle.
73,105750064202500001,202500001,2025-02-15 00:54:00,1051,64,1,2,2,12,1,5007,2025-02-13 12:54:00,2025-02-13 15:54:00,2025-02-14 21:54:00,12.966034,75.397094,A scooter parked near an apartment complex on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
74,105750065202500001,202500001,2025-02-20 05:16:00,1205,65,1,2,2,12,1,5020,2025-02-19 11:16:00,2025-02-19 13:16:00,2025-02-20 01:16:00,12.871129,75.305828,A scooter parked near a park gate on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
75,105750063202500001,202500001,2025-03-15 03:43:00,1141,63,1,2,2,12,1,5025,2025-03-13 12:43:00,2025-03-13 15:43:00,2025-03-14 22:43:00,12.814259,75.27223,A scooter parked near a temple on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
76,105750064202500002,202500002,2025-03-11 03:29:00,1037,64,1,2,2,12,1,5017,2025-03-09 13:29:00,2025-03-09 15:29:00,2025-03-11 02:29:00,12.943475,75.346527,A scooter parked near a petrol bunk on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
77,105750062202500001,202500001,2025-04-04 00:16:00,1211,62,1,2,2,12,1,5012,2025-04-02 11:16:00,2025-04-02 11:16:00,2025-04-03 19:16:00,12.956915,75.20484,A scooter parked near a bank ATM on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
78,105750064202500003,202500003,2025-03-22 04:31:00,1117,64,1,2,2,12,1,5007,2025-03-20 13:31:00,2025-03-20 14:31:00,2025-03-21 23:31:00,12.93357,75.356063,A scooter parked near a government office on the beach road was found missing; the handle lock was broken. Similar thefts reported along the coastal stretch.
79,105740036202500001,202500001,2025-05-20 02:48:00,1089,36,1,1,1,22,1,5015,2025-05-17 05:48:00,2025-05-17 05:48:00,2025-05-19 22:48:00,12.987655,76.195414,An attempt was made on the complainant's life near a temple using a sharp weapon.
80,105710024202500001,202500001,2025-07-15 20:15:00,1067,24,1,2,2,14,2,5019,2025-07-15 08:15:00,2025-07-15 09:15:00,2025-07-15 14:15:00,13.316773,76.932339,Household articles and two gold bangles were stolen from the complainant's house near a park gate.
81,105690069202600001,202600001,2026-01-07 20:50:00,1049,69,1,1,3,30,2,5015,2026-01-07 10:50:00,2026-01-07 12:50:00,2026-01-07 14:50:00,13.347323,74.788886,"Near a government office, an unknown person outraged the modesty of the complainant during the afternoon."
82,105660046202400001,202400001,2024-11-29 05:32:00,1207,46,1,2,2,14,2,5003,2024-11-28 21:32:00,2024-11-28 21:32:00,2024-11-29 00:32:00,14.130001,76.540474,a handbag kept at the workplace near a wedding hall was stolen during office hours.
83,105810027202400001,202400001,2024-06-19 16:06:00,1199,27,1,2,2,11,2,5010,2024-06-19 12:06:00,2024-06-19 13:06:00,2024-06-19 14:06:00,13.190693,78.275043,On returning from a trip the complainant found the roof ventilator forced and valuables gone.
84,105650059202500001,202500001,2025-10-11 13:40:00,1155,59,1,2,2,12,1,5001,2025-10-08 23:40:00,2025-10-08 23:40:00,2025-10-11 11:40:00,15.002104,76.515626,Unknown persons rode away a TVS scooter parked near a vegetable market during the afternoon.
85,105550048202400003,202400003,2024-07-12 19:56:00,1264,48,1,2,2,10,3,5025,2024-07-12 13:56:00,2024-07-12 15:56:00,2024-07-12 17:56:00,15.975332,74.884421,An unidentified person grabbed two gold bangles from the complainant close to an apartment complex and disappeared.
86,105720003202400001,202400001,2024-07-09 09:18:00,1255,3,1,1,3,30,2,5012,2024-07-09 03:18:00,2024-07-09 06:18:00,2024-07-09 07:18:00,12.988423,77.707167,"Near a bus stop, an unknown person outraged the modesty of the complainant in the early hours."
87,105770016202600001,202600001,2026-02-26 05:15:00,1165,16,1,2,2,10,2,5006,2026-02-25 22:15:00,2026-02-25 22:15:00,2026-02-26 02:15:00,12.233221,76.563081,An unidentified person grabbed a gold chain from the complainant close to a government office and disappeared.
88,105740036202500002,202500002,2025-08-22 15:25:00,1173,36,1,2,2,12,1,5025,2025-08-21 03:25:00,2025-08-21 03:25:00,2025-08-22 14:25:00,13.015696,76.215734,a Yamaha bike parked near a bus stop was found missing late in the evening.
89,105660046202600001,202600001,2026-01-12 12:16:00,1239,46,1,2,1,21,1,5009,2026-01-11 04:16:00,2026-01-11 05:16:00,2026-01-12 08:16:00,14.092736,76.541091,A quarrel near a vegetable market led to the complainant being beaten and hurt.
90,105820031202400001,202400001,2024-11-27 12:04:00,1034,31,1,2,4,40,1,5002,2024-11-24 23:04:00,2024-11-25 00:04:00,2024-11-27 07:04:00,13.583644,77.864274,An unknown person defrauded the complainant of cash promising ear studs late in the evening.
91,105840010202400002,202400002,2024-01-14 13:41:00,1036,10,1,2,4,40,2,5010,2024-01-14 06:41:00,2024-01-14 06:41:00,2024-01-14 07:41:00,12.647176,77.255556,The complainant was cheated of money near a government office on a false promise around noon.
92,105790055202600001,202600001,2026-06-25 06:10:00,1190,55,1,1,1,22,1,5014,2026-06-23 03:10:00,2026-06-23 06:10:00,2026-06-25 04:10:00,17.26047,76.806159,An attempt was made on the complainant's life near a vegetable market using a sharp weapon.
93,105720003202500006,202500006,2025-06-14 07:56:00,1070,3,1,2,4,40,2,5009,2025-06-14 04:56:00,2025-06-14 06:56:00,2025-06-14 07:56:00,12.965472,77.681362,An unknown person defrauded the complainant of cash promising a mobile phone at night.
94,105550049202400003,202400003,2024-03-23 05:58:00,1076,49,1,2,4,40,1,5011,2024-03-21 01:58:00,2024-03-21 02:58:00,2024-03-23 05:58:00,16.16081,74.909324,An unknown person defrauded the complainant of cash promising a handbag during office hours.
95,105840007202500001,202500001,2025-07-16 00:16:00,1268,7,1,1,1,22,2,5008,2025-07-15 12:16:00,2025-07-15 13:16:00,2025-07-15 19:16:00,12.615686,77.361594,An attempt was made on the complainant's life near a vegetable market using a sharp weapon.
