CSID,CaseMasterID,csdate,cstype,PolicePersonID
229,229,2024-09-19 23:14:00,C,1144
230,230,2026-02-02 02:08:00,C,1054
231,231,2025-09-14 20:17:00,C,1146
232,232,2024-06-26 22:59:00,C,1255
233,233,2024-06-03 21:27:00,C,1125
234,234,2026-01-27 10:15:00,A,1215
235,235,2024-05-22 17:23:00,A,1172
236,236,2025-09-08 04:53:00,A,1200
237,237,2024-07-27 13:23:00,C,1016
238,238,2026-04-30 21:25:00,B,1019
239,239,2025-01-23 14:39:00,C,1044
240,240,2024-09-26 01:49:00,A,1160
241,241,2025-05-12 18:36:00,A,1055
242,242,2025-11-14 13:20:00,B,1140
243,243,2024-08-12 15:26:00,A,1077
244,244,2025-06-26 07:34:00,C,1255
245,245,2025-10-18 20:24:00,A,1227
246,246,2026-05-16 21:45:00,C,1007
247,247,2026-07-26 22:27:00,A,1133
248,248,2026-05-16 07:08:00,C,1026
249,249,2024-05-15 16:31:00,C,1092
250,250,2024-08-30 23:01:00,B,1047
251,251,2025-06-23 01:27:00,B,1209
252,252,2024-04-30 19:44:00,A,1038
253,253,2025-09-29 17:15:00,B,1212
254,254,2024-04-16 06:08:00,A,1038
255,255,2025-10-05 02:15:00,B,1039
256,256,2026-06-26 20:06:00,C,1236
257,257,2024-11-11 07:59:00,B,1150
258,258,2024-12-23 11:34:00,A,1001
259,259,2025-05-02 14:01:00,A,1268
260,260,2026-01-20 16:57:00,B,1125
261,261,2025-01-03 17:12:00,A,1148
262,262,2024-03-04 09:22:00,C,1112
263,263,2025-12-28 14:51:00,B,1070
264,264,2025-03-15 18:39:00,B,1246
265,265,2026-05-03 03:39:00,C,1062
266,266,2024-08-08 10:42:00,A,1075
267,267,2026-08-05 03:13:00,A,1034
268,268,2026-03-05 03:20:00,C,1015
269,269,2024-11-10 02:10:00,A,1270
270,270,2024-06-09 03:19:00,A,1273
271,271,2026-08-03 07:08:00,A,1138
272,272,2024-03-25 20:49:00,A,1005
273,273,2025-12-29 00:56:00,A,1154
274,274,2024-07-18 00:14:00,A,1043
275,275,2024-03-28 08:19:00,A,1198
276,276,2024-11-30 21:18:00,A,1008
277,277,2024-10-17 07:16:00,C,1116
278,278,2025-08-26 05:15:00,A,1150
279,279,2026-04-14 17:05:00,C,1168
280,280,2024-05-18 23:41:00,A,1060
281,281,2026-03-08 15:08:00,C,1172
282,282,2026-04-05 02:44:00,A,1152
283,283,2024-05-04 14:18:00,A,1020
284,284,2026-10-17 17:31:00,A,1161
285,285,2025-01-26 06:12:00,C,1178
286,286,2024-07-28 12:07:00,C,1065
287,287,2025-10-12 09:16:00,C,1113
288,288,2025-11-23 09:33:00,A,1269
289,289,2026-05-26 13:41:00,A,1159
290,290,2025-07-26 05:58:00,C,1189
291,291,2024-07-14 09:25:00,C,1107
292,292,2025-07-05 02:04:00,A,1214
293,293,2025-10-02 22:16:00,A,1096
294,294,2025-01-09 02:52:00,C,1052
295,295,2026-06-10 07:09:00,A,1197
296,296,2025-09-29 20:41:00,A,1269
297,297,2025-11-07 11:36:00,C,1042
298,298,2025-12-10 07:23:00,B,1258
299,299,2024-09-07 23:37:00,C,1027
300,300,2026-02-17 21:16:00,A,1147
301,301,2026-01-24 05:57:00,A,1095
302,302,2024-08-17 11:27:00,C,1072
303,303,2026-08-15 18:27:00,A,1124
304,304,2025-03-27 15:21:00,B,1077
305,305,2026-06-25 13:10:00,A,1190
306,306,2025-05-02 09:29:00,A,1150
307,307,2025-10-09 06:08:00,C,1051
308,308,2026-08-13 02:07:00,C,1204
309,309,2025-11-08 08:20:00,A,1174
310,310,2024-07-21 09:47:00,C,1145
311,311,2024-08-20 07:49:00,C,1206
312,312,2025-11-25 14:43:00,C,1166
313,313,2025-07-02 21:46:00,C,1256
314,314,2026-08-09 03:04:00,C,1204
315,315,2024-12-06 22:13:00,A,1140
316,316,2024-08-29 10:51:00,C,1087
317,317,2026-03-09 08:21:00,A,1103
318,318,2026-01-04 05:54:00,A,1106
319,319,2024-08-07 01:37:00,A,1208
320,320,2026-06-10 13:31:00,A,1118
321,321,2026-07-21 16:39:00,C,1170
322,322,2025-06-08 14:01:00,C,1054
323,323,2024-06-02 18:03:00,C,1102
324,324,2026-04-19 15:11:00,A,1202
325,325,2025-08-23 16:34:00,A,1093
326,326,2026-08-23 07:37:00,C,1020
327,327,2024-11-13 18:01:00,A,1063
328,328,2025-07-01 13:00:00,A,1008
329,329,2024-04-19 00:51:00,A,1156
330,330,2026-04-20 00:46:00,B,1243
331,331,2026-03-03 13:47:00,A,1067
332,332,2025-04-14 22:00:00,B,1095
333,333,2024-12-05 20:53:00,A,1113
334,334,2026-07-13 14:17:00,A,1034
335,335,2026-07-29 18:04:00,A,1159
336,336,2024-08-05 03:29:00,A,1053
337,337,2024-09-19 07:27:00,C,1122
338,338,2024-12-08 06:11:00,A,1024
339,339,2026-01-31 10:40:00,A,1057
340,340,2026-01-26 17:34:00,A,1253
341,341,2026-01-02 21:56:00,C,1065
342,342,2025-07-18 04:28:00,A,1129
343,343,2026-09-13 08:39:00,A,1253
344,344,2026-03-26 22:56:00,A,1030
345,345,2025-08-30 15:22:00,A,1149
346,346,2026-06-09 00:07:00,C,1046
347,347,2025-04-02 21:24:00,A,1045
348,348,2025-07-21 20:43:00,C,1059
349,349,2025-11-20 05:16:00,C,1005
350,350,2024-08-21 01:20:00,A,1065
351,351,2025-05-09 04:09:00,A,1028
352,352,2024-11-11 01:10:00,A,1195
353,353,2026-03-15 04:24:00,A,1089
354,354,2024-11-22 14:26:00,C,1097
355,355,2025-02-14 03:26:00,A,1205
356,356,2026-09-21 07:21:00,C,1089
357,357,2026-02-25 01:07:00,C,1010
358,358,2024-07-16 00:12:00,C,1163
359,359,2025-03-02 00:02:00,A,1217
360,360,2025-01-03 14:11:00,A,1054
361,361,2025-08-01 19:45:00,C,1096
362,362,2025-09-10 07:18:00,A,1220
363,363,2025-01-29 07:47:00,A,1012
364,364,2024-08-06 20:21:00,A,1054
365,365,2025-11-04 14:33:00,A,1243
366,366,2026-08-25 18:24:00,C,1030
367,367,2026-06-10 13:12:00,C,1073
368,368,2026-04-24 08:06:00,C,1072
369,369,2025-02-01 00:48:00,B,1173
370,370,2024-10-06 18:48:00,C,1119
371,371,2024-05-06 12:37:00,A,1198
372,372,2026-05-30 20:13:00,A,1129
373,373,2026-06-02 12:54:00,C,1110
374,374,2024-08-23 16:47:00,C,1245
375,375,2024-07-18 12:36:00,C,1022
376,376,2025-08-19 11:23:00,C,1253
377,377,2026-09-24 11:21:00,B,1053
378,378,2025-12-01 02:29:00,A,1012
379,379,2025-04-16 17:13:00,A,1179
380,380,2024-11-28 02:30:00,A,1092
381,381,2025-06-29 10:43:00,A,1059
382,382,2025-06-07 20:44:00,A,1191
383,383,2025-04-07 22:32:00,C,1245
384,384,2024-12-16 03:48:00,A,1115
385,385,2026-03-03 04:49:00,C,1070
386,386,2025-09-18 09:22:00,C,1236
387,387,2025-09-27 20:09:00,A,1215
388,388,2026-07-06 03:17:00,A,1118
389,389,2026-06-24 20:07:00,A,1109
390,390,2026-05-05 22:21:00,A,1160
391,391,2026-02-09 05:24:00,B,1086
392,392,2024-12-16 14:33:00,C,1090
393,393,2025-09-08 15:49:00,A,1069
394,394,2026-02-15 06:48:00,A,1207
395,395,2025-04-07 02:19:00,A,1125
396,396,2025-04-12 08:22:00,A,1084
397,397,2025-09-29 12:56:00,A,1072
398,398,2025-10-28 07:16:00,C,1235
399,399,2026-01-06 21:51:00,B,1114
400,400,2025-05-11 23:52:00,A,1146
401,401,2024-04-29 09:41:00,A,1042
402,402,2024-09-23 01:49:00,C,1205
403,403,2024-06-20 04:56:00,A,1107
404,404,2026-01-27 15:50:00,C,1171
405,405,2026-03-28 13:51:00,C,1100
406,406,2025-05-25 22:59:00,A,1113
407,407,2025-06-24 22:13:00,B,1066
408,408,2025-10-04 00:35:00,C,1062
409,409,2026-02-16 23:58:00,C,1262
410,410,2025-11-27 13:12:00,C,1049
411,411,2024-03-03 20:03:00,C,1145
412,412,2026-08-26 12:11:00,B,1215
413,413,2025-09-18 07:16:00,A,1002
414,414,2025-01-13 04:39:00,C,1061
415,415,2026-03-23 08:53:00,C,1103
416,416,2025-07-24 22:03:00,C,1232
417,417,2024-09-08 10:49:00,A,1206
418,418,2024-09-19 00:06:00,C,1182
419,419,2026-09-16 07:13:00,A,1230
420,420,2026-05-09 10:50:00,A,1049
421,421,2025-12-20 18:14:00,C,1191
422,422,2026-02-10 21:17:00,C,1109
423,423,2026-01-01 21:45:00,C,1268
424,424,2026-07-30 07:44:00,C,1005
425,425,2025-05-21 04:41:00,A,1251
426,426,2024-02-29 21:16:00,C,1261
427,427,2025-05-18 09:15:00,A,1063
428,428,2024-08-14 06:04:00,A,1270
429,429,2025-06-17 02:46:00,C,1115
430,430,2026-01-07 21:03:00,C,1232
431,431,2024-06-07 21:41:00,A,1094
432,432,2025-08-04 05:44:00,A,1036
433,433,2026-01-07 00:32:00,A,1021
434,434,2026-04-11 10:02:00,C,1089
435,435,2026-04-26 15:41:00,C,1152
436,436,2026-01-26 06:28:00,C,1215
437,437,2026-02-10 22:15:00,A,1220
438,438,2026-04-11 14:19:00,B,1208
439,439,2025-12-06 22:22:00,A,1136
440,440,2025-11-14 22:58:00,C,1270
441,441,2024-08-28 16:28:00,C,1206
442,442,2026-03-31 13:01:00,A,1239
443,443,2025-04-05 09:12:00,A,1141
444,444,2024-08-29 07:00:00,C,1218
445,445,2025-09-14 07:37:00,B,1001
446,446,2024-06-07 07:16:00,A,1220
447,447,2025-07-15 23:41:00,A,1120
448,448,2025-04-12 17:09:00,C,1095
449,449,2026-03-01 15:10:00,A,1068
450,450,2026-04-05 01:11:00,C,1054
451,451,2026-07-27 20:14:00,A,1120
452,452,2024-09-04 19:13:00,C,1055
453,453,2025-07-02 01:03:00,C,1259
454,454,2025-02-13 16:57:00,C,1013
455,455,2026-06-23 21:55:00,A,1268
456,456,2025-04-23 07:13:00,C,1156
457,457,2025-03-10 09:34:00,A,1069
458,458,2026-04-30 23:07:00,C,1210
459,459,2026-02-28 20:50:00,B,1148
460,460,2025-01-14 08:42:00,C,1014
461,461,2025-08-02 15:32:00,C,1008
462,462,2026-09-18 06:36:00,C,1100
463,463,2024-08-05 08:10:00,A,1016
464,464,2024-10-04 19:00:00,C,1004
465,465,2026-06-13 06:45:00,C,1157
466,466,2025-07-31 20:35:00,A,1054
467,467,2025-06-27 20:58:00,C,1070
468,468,2024-08-02 22:25:00,A,1055
469,469,2024-06-19 03:52:00,C,1270
470,470,2025-12-15 12:38:00,A,1136
471,471,2024-10-10 07:01:00,C,1130
472,472,2026-03-29 08:52:00,A,1165
473,473,2024-05-26 05:26:00,A,1057
474,474,2025-09-05 10:28:00,C,1043
475,475,2025-07-03 03:48:00,A,1022
476,476,2026-03-22 13:18:00,C,1173
477,477,2025-10-09 17:34:00,C,1032
478,478,2024-02-23 17:11:00,C,1063
479,479,2026-04-17 16:49:00,B,1264
480,480,2025-01-20 18:24:00,B,1126
481,481,2024-12-10 07:45:00,C,1128
482,482,2024-08-29 19:52:00,C,1066
483,483,2025-05-30 23:21:00,C,1242
484,484,2025-04-22 14:52:00,C,1183
485,485,2026-04-17 12:58:00,A,1179
486,486,2026-01-16 12:21:00,C,1224
487,487,2025-05-03 03:10:00,C,1117
488,488,2024-05-25 05:55:00,A,1027
489,489,2024-07-25 06:29:00,C,1230
490,490,2025-12-18 18:10:00,B,1108
491,491,2024-07-26 07:58:00,A,1148
492,492,2026-05-25 04:50:00,A,1023
493,493,2024-05-23 19:39:00,C,1198
494,494,2024-09-09 17:29:00,C,1007
495,495,2025-07-22 17:29:00,A,1206
496,496,2025-03-08 16:53:00,C,1175
497,497,2026-07-28 04:56:00,C,1199
498,498,2026-06-09 05:56:00,C,1236
499,499,2025-10-12 08:20:00,C,1045
500,500,2026-05-19 07:42:00,C,1271
501,501,2025-09-22 15:11:00,A,1184
502,502,2026-04-02 12:06:00,A,1168
503,503,2025-06-10 06:50:00,C,1173
504,504,2026-03-02 23:37:00,C,1064
505,505,2026-10-01 06:39:00,C,1009
506,506,2025-07-29 16:44:00,C,1167
507,507,2025-02-10 13:29:00,B,1016
508,508,2025-05-28 19:50:00,A,1085
509,509,2024-03-30 02:07:00,A,1063
510,510,2026-03-17 21:10:00,C,1079
511,511,2024-04-24 04:11:00,B,1067
512,512,2024-10-23 19:08:00,C,1129
513,513,2024-09-21 14:49:00,A,1014
514,514,2024-04-25 14:25:00,B,1146
515,515,2026-02-15 23:24:00,A,1175
516,516,2024-10-25 17:12:00,B,1040
517,517,2024-09-17 16:15:00,A,1189
518,518,2024-08-06 13:00:00,A,1100
519,519,2024-06-22 05:57:00,A,1143
520,520,2026-10-11 07:52:00,A,1182
521,521,2024-12-06 15:20:00,A,1101
522,522,2024-07-17 13:23:00,C,1242
523,523,2024-04-27 03:35:00,C,1251
524,524,2025-10-24 12:49:00,A,1149
525,525,2025-04-27 00:53:00,C,1161
526,526,2025-12-20 22:32:00,C,1034
527,527,2025-09-30 09:37:00,A,1069
528,528,2024-05-07 04:49:00,A,1059
529,529,2025-03-06 08:49:00,A,1156
530,530,2024-03-08 09:26:00,A,1183
531,531,2024-08-16 22:26:00,C,1134
532,532,2026-03-10 08:15:00,C,1168
533,533,2024-09-08 11:44:00,A,1064
534,534,2024-09-02 09:55:00,A,1241
535,535,2024-03-13 12:18:00,C,1154
536,536,2024-07-03 15:05:00,C,1083
537,537,2024-08-20 23:50:00,A,1034
538,538,2024-05-15 12:57:00,A,1034
539,539,2026-02-26 16:53:00,C,1240
540,540,2026-03-25 11:58:00,B,1021
541,541,2026-02-07 17:11:00,B,1076
542,542,2024-11-21 17:18:00,A,1259
543,543,2025-07-11 00:30:00,A,1080
544,544,2024-12-06 17:15:00,A,1173
545,545,2026-07-24 16:50:00,A,1167
546,546,2024-12-27 22:33:00,A,1223
547,547,2026-07-26 13:49:00,C,1010
548,548,2024-09-28 23:25:00,A,1087
549,549,2025-12-11 11:13:00,C,1038
550,550,2025-10-09 07:20:00,C,1136
551,551,2026-02-16 16:34:00,C,1087
552,552,2025-01-17 00:14:00,C,1224
553,553,2025-05-01 02:04:00,C,1149
554,554,2025-06-15 11:25:00,A,1247
555,555,2026-02-09 16:46:00,A,1229
556,556,2024-04-18 03:17:00,C,1019
557,557,2026-09-09 14:07:00,C,1166
558,558,2025-01-30 13:46:00,A,1237
559,559,2025-04-14 06:32:00,A,1241
560,560,2024-09-12 17:18:00,C,1266
561,561,2024-11-21 05:27:00,A,1262
562,562,2025-12-17 21:37:00,C,1018
563,563,2026-01-14 10:18:00,C,1178
564,564,2025-10-22 08:12:00,C,1081
565,565,2025-11-29 20:53:00,B,1106
566,566,2024-04-04 14:54:00,B,1062
567,567,2026-03-18 20:32:00,C,1149
568,568,2025-03-03 12:06:00,A,1002
569,569,2025-11-08 11:29:00,C,1251
570,570,2025-05-23 15:33:00,C,1258
571,571,2026-07-02 04:07:00,A,1257
572,572,2024-02-09 10:06:00,A,1134
573,573,2026-02-02 11:31:00,C,1141
574,574,2026-07-10 16:50:00,A,1195
575,575,2025-03-27 22:46:00,A,1069
576,576,2024-08-15 09:34:00,C,1208
577,577,2024-07-05 12:48:00,A,1008
578,578,2024-05-10 12:59:00,A,1195
579,579,2026-06-22 00:43:00,A,1056
580,580,2024-11-23 01:17:00,B,1102
581,581,2025-03-30 09:50:00,A,1077
582,582,2026-06-26 22:27:00,A,1267
583,583,2025-02-15 02:20:00,C,1027
584,584,2024-02-11 10:57:00,A,1113
585,585,2025-10-26 13:18:00,C,1073
586,586,2025-12-11 06:34:00,C,1225
587,587,2026-04-10 10:31:00,C,1093
588,588,2026-09-16 19:54:00,B,1247
589,589,2026-09-11 05:38:00,C,1100
590,590,2025-07-10 01:51:00,A,1046
591,591,2025-06-08 10:52:00,C,1025
592,592,2025-11-22 05:48:00,C,1168
593,593,2025-08-25 12:35:00,B,1240
594,594,2025-12-26 09:45:00,B,1200
595,595,2024-10-28 04:54:00,C,1101
596,596,2024-12-29 01:54:00,A,1036
597,597,2024-05-12 04:20:00,A,1039
598,598,2024-07-16 20:46:00,A,1013
599,599,2025-03-19 22:14:00,B,1201
600,600,2024-05-22 19:13:00,C,1015
601,601,2026-02-17 08:53:00,C,1230
602,602,2024-10-07 19:16:00,A,1038
603,603,2024-08-19 15:17:00,C,1211
604,604,2025-06-19 18:56:00,C,1234
605,605,2024-12-22 23:00:00,B,1080
606,606,2026-04-27 21:28:00,A,1000
607,607,2025-10-17 06:10:00,A,1088
608,608,2026-08-21 23:37:00,B,1013
609,609,2025-01-27 15:38:00,C,1093
610,610,2025-06-14 02:14:00,C,1229
611,611,2025-03-21 18:14:00,C,1236
612,612,2026-04-14 03:50:00,A,1087
613,613,2026-07-05 05:34:00,A,1156
614,614,2024-09-01 00:46:00,C,1044
615,615,2024-08-18 23:25:00,A,1112
616,616,2025-04-30 13:59:00,B,1111
617,617,2026-06-02 22:07:00,A,1091
618,618,2026-06-23 07:30:00,A,1157
619,619,2024-07-16 21:55:00,A,1006
620,620,2026-07-25 01:37:00,C,1258
621,621,2024-07-31 09:56:00,A,1243
622,622,2026-02-04 11:28:00,A,1093
623,623,2024-11-09 07:43:00,C,1216
624,624,2025-07-18 12:51:00,B,1046
625,625,2024-12-20 07:40:00,C,1001
626,626,2026-04-26 04:07:00,A,1129
627,627,2025-07-26 12:13:00,A,1015
628,628,2026-04-20 19:56:00,C,1089
629,629,2025-09-22 16:52:00,C,1046
630,630,2026-01-03 23:41:00,C,1272
631,631,2025-08-27 11:33:00,A,1037
632,632,2025-05-18 18:25:00,A,1253
633,633,2025-12-21 08:06:00,A,1034
