ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
50,166,2,2025-09-23,29,567,44,1200,5010,192,1,0
51,168,1,2025-03-15,29,581,27,1073,5014,195,1,0
52,171,1,2024-11-13,29,555,48,1071,5020,198,1,0
53,172,2,2024-05-07,29,562,53,1107,5015,199,1,0
54,173,2,2024-05-24,29,577,15,1056,5002,201,1,0
55,176,1,2025-01-14,29,571,24,1265,5011,205,1,0
56,180,2,2025-06-06,29,582,30,1164,5003,212,1,0
57,182,2,2026-06-02,29,567,43,1221,5002,215,1,0
58,185,1,2025-04-11,29,584,9,1259,5016,218,1,0
59,187,2,2025-09-04,29,578,22,1191,5002,221,1,0
60,189,2,2024-11-05,29,566,46,1252,5009,223,1,0
61,191,1,2025-06-27,29,571,25,1026,5011,225,1,0
62,195,2,2025-07-12,29,573,14,1210,5002,231,1,0
63,196,1,2024-06-20,29,568,38,1192,5007,233,1,0
64,198,2,2024-10-19,29,555,50,1125,5009,235,1,0
65,200,2,2024-11-05,29,567,44,1022,5007,238,1,0
66,201,1,2025-10-17,29,568,37,1216,5016,240,1,0
67,202,2,2024-10-07,29,565,61,1211,5014,242,1,0
68,206,2,2025-12-28,29,555,49,1225,5013,247,1,0
69,207,2,2025-11-18,29,572,3,1070,5022,249,1,0
70,209,2,2026-07-05,29,579,56,1230,5019,252,1,0
71,217,2,2024-06-28,29,562,53,1110,5006,261,1,0
72,219,1,2024-07-03,29,573,12,1116,5023,264,1,0
73,220,2,2026-05-28,29,566,47,1106,5010,265,1,0
74,222,1,2024-07-20,29,578,21,1011,5022,267,1,0
75,224,1,2024-12-10,29,578,20,1203,5008,269,1,0
76,225,1,2024-11-03,29,567,42,1190,5011,271,1,0
77,226,2,2024-06-17,29,573,13,1146,5003,272,1,0
78,227,1,2026-01-08,29,562,52,1096,5018,274,1,0
79,234,2,2026-03-08,29,581,29,1102,5010,281,1,0
80,235,2,2024-05-14,29,578,21,1268,5016,283,1,0
81,236,1,2025-10-25,29,565,59,1111,5013,284,1,0
82,240,2,2024-07-22,29,584,10,1239,5015,288,1,0
83,241,1,2025-04-09,29,568,38,1221,5003,289,1,0
84,243,2,2024-10-08,29,578,22,1010,5011,292,1,0
85,245,2,2025-08-24,29,578,21,1206,5016,294,1,0
86,247,1,2026-07-07,29,584,7,1075,5021,296,1,0
87,252,1,2024-02-21,29,577,16,1211,5018,303,1,0
88,254,2,2024-04-06,29,581,29,1167,5004,307,1,0
89,258,2,2024-10-21,29,574,35,1222,5023,312,1,0
90,259,2,2025-04-21,29,565,61,1197,5001,313,1,0
91,261,1,2024-12-08,29,562,54,1099,5015,316,1,0
92,266,1,2024-06-30,29,571,24,1073,5015,322,1,0
93,267,1,2026-06-27,29,575,65,1107,5009,324,1,0
94,269,1,2024-09-09,29,581,29,1093,5011,327,1,0
95,270,1,2024-05-27,29,573,11,1118,5006,328,1,0
96,271,2,2026-09-22,29,567,43,1095,5018,329,1,0
97,272,1,2024-04-11,29,575,62,1228,5008,331,1,0
98,273,1,2025-11-20,29,566,45,1023,5008,332,1,0
99,274,1,2024-06-21,29,581,27,1118,5009,333,1,0
100,275,1,2024-04-15,29,569,69,1229,5024,334,1,0
101,276,1,2024-12-25,29,573,11,1253,5006,335,1,0
102,278,2,2025-09-15,29,577,15,1177,5021,337,1,0
103,280,1,2024-04-08,29,575,65,1091,5010,340,1,0
104,282,1,2026-05-10,29,568,38,1066,5025,342,1,0
105,283,1,2024-04-24,29,567,41,1034,5018,343,1,0
106,284,1,2026-08-04,29,579,57,1227,5021,344,1,0
107,288,1,2026-02-14,29,584,9,1146,5001,349,1,0
108,289,2,2026-06-21,29,577,16,1136,5004,350,1,0
109,292,1,2025-06-13,29,573,14,1164,5016,354,1,0
110,293,1,2025-09-25,29,555,48,1241,5001,355,1,0
111,295,2,2026-06-28,29,573,12,1040,5008,357,1,0
112,296,1,2025-09-01,29,577,16,1079,5007,358,1,0
113,300,1,2026-01-19,29,574,34,1210,5023,364,1,0
114,301,2,2026-02-18,29,555,49,1159,5010,366,1,0
115,303,1,2026-08-15,29,582,31,1075,5022,369,1,0
116,305,2,2026-06-22,29,562,52,1114,5020,373,1,0
117,306,1,2025-04-30,29,565,59,1007,5018,374,1,0
118,309,1,2025-12-15,29,565,60,1111,5018,377,1,0
119,315,1,2024-11-25,29,578,19,1101,5023,384,1,0
120,317,1,2026-01-19,29,572,2,1233,5024,387,1,0
121,318,1,2026-03-16,29,571,24,1207,5017,388,1,0
122,319,1,2024-05-30,29,571,26,1031,5001,389,1,0
123,320,2,2026-04-27,29,577,15,1211,5007,390,1,0
124,324,1,2026-05-02,29,579,58,1147,5021,394,1,0
125,325,2,2025-09-26,29,573,12,1044,5021,396,1,0
126,327,2,2024-10-27,29,582,30,1055,5025,398,1,0
127,328,1,2025-07-13,29,577,15,1038,5021,400,1,0
128,329,1,2024-05-02,29,583,5,1147,5001,401,1,0
129,331,1,2026-02-26,29,581,29,1094,5017,403,1,0
130,333,1,2024-09-29,29,573,13,1032,5007,405,1,0
131,334,2,2026-09-10,29,579,55,1258,5023,407,1,0
132,335,2,2026-08-13,29,582,32,1267,5001,408,1,0
133,336,1,2024-07-26,29,582,33,1075,5014,409,1,0
134,338,1,2024-08-27,29,583,4,1019,5009,411,1,0
135,339,1,2026-01-19,29,573,13,1246,5006,413,1,0
136,340,1,2026-02-11,29,578,19,1075,5022,414,1,0
137,342,1,2025-07-18,29,584,7,1254,5003,417,1,0
138,343,2,2026-09-14,29,567,41,1225,5006,419,1,0
139,344,1,2026-04-16,29,571,23,1017,5020,420,1,0
140,345,1,2025-09-29,29,571,24,1158,5018,422,1,0
141,347,2,2025-03-14,29,579,55,1003,5017,424,1,0
142,350,1,2024-08-24,29,584,9,1137,5003,428,1,0
143,351,2,2025-04-22,29,555,48,1173,5012,429,1,0
144,352,1,2025-01-01,29,569,68,1149,5004,431,1,0
145,353,1,2026-01-16,29,568,37,1153,5005,432,1,0
146,355,1,2025-02-24,29,579,58,1253,5009,434,1,0
147,359,2,2025-02-24,29,573,11,1134,5011,438,1,0
148,360,2,2024-12-19,29,573,14,1255,5021,440,1,0
149,362,1,2025-07-01,29,562,53,1110,5012,443,1,0
150,363,1,2025-01-29,29,575,63,1097,5024,445,1,0
151,364,1,2024-06-19,29,565,61,1033,5016,447,1,0
152,365,2,2025-11-10,29,577,16,1035,5023,449,1,0
153,371,1,2024-02-22,29,584,9,1149,5009,455,1,0
154,372,1,2026-06-11,29,569,66,1227,5021,456,1,0
155,378,1,2025-11-26,29,581,29,1158,5018,464,1,0
156,379,1,2025-02-14,29,567,44,1078,5025,466,1,0
157,380,2,2024-10-02,29,567,44,1178,5015,467,1,0
158,381,1,2025-05-02,29,567,43,1199,5008,468,1,0
159,382,1,2025-04-14,29,574,36,1028,5022,470,1,0
160,384,2,2024-12-25,29,578,22,1080,5013,472,1,0
161,387,2,2025-10-29,29,565,59,1150,5018,475,1,0
162,388,2,2026-06-04,29,583,6,1239,5010,477,1,0
163,389,2,2026-07-27,29,574,35,1221,5019,479,1,0
164,390,2,2026-04-09,29,579,56,1240,5013,480,1,0
165,393,2,2025-09-29,29,571,23,1273,5017,483,1,0
166,394,2,2026-01-24,29,578,21,1095,5015,484,1,0
167,395,2,2025-02-21,29,562,53,1010,5021,485,1,0
168,396,2,2025-02-18,29,568,38,1252,5007,487,1,0
169,397,2,2025-12-11,29,569,67,1045,5024,489,1,0
170,400,1,2025-04-12,29,584,8,1158,5013,494,1,0
171,401,1,2024-04-20,29,575,64,1014,5011,495,1,0
172,403,1,2024-04-24,29,573,11,1091,5004,498,1,0
173,406,1,2025-05-16,29,584,9,1198,5001,501,1,0
174,413,2,2025-07-30,29,562,52,1059,5024,508,1,0
175,417,2,2024-07-17,29,579,57,1082,5009,513,1,0
176,419,2,2026-07-01,29,562,53,1163,5004,516,1,0
177,420,1,2026-08-05,29,575,63,1258,5018,517,1,0
178,425,1,2025-04-09,29,573,13,1158,5020,522,1,0
179,427,2,2025-03-05,29,584,7,1186,5013,524,1,0
180,428,2,2024-08-09,29,582,32,1012,5025,525,1,0
181,431,2,2024-09-11,29,581,28,1022,5025,529,1,0
182,432,2,2025-07-29,29,567,43,1171,5003,530,1,0
183,433,1,2025-11-22,29,581,28,1007,5005,532,1,0
184,437,2,2025-11-09,29,555,50,1025,5010,536,1,0
185,439,2,2025-10-19,29,555,49,1107,5009,538,1,0
186,442,1,2026-05-14,29,584,9,1225,5012,541,1,0
187,443,2,2025-03-13,29,566,45,1064,5002,543,1,0
188,446,2,2024-05-25,29,579,58,1082,5018,547,1,0
189,447,1,2025-09-16,29,582,33,1267,5003,548,1,0
190,449,2,2026-01-06,29,583,4,1059,5006,551,1,0
191,451,1,2026-06-02,29,568,37,1098,5023,553,1,0
192,455,2,2026-06-17,29,577,15,1027,5010,557,1,0
193,457,1,2025-03-26,29,565,60,1037,5018,560,1,0
194,463,1,2024-06-04,29,578,20,1245,5002,567,1,0
195,466,2,2025-05-16,29,578,21,1014,5005,570,1,0
196,468,1,2024-05-22,29,582,30,1109,5005,572,1,0
197,470,2,2026-02-05,29,571,26,1071,5001,574,1,0
198,472,1,2026-01-23,29,579,57,1012,5008,576,1,0
199,473,2,2024-05-20,29,578,22,1239,5020,578,1,0
200,475,2,2025-07-23,29,578,20,1042,5004,581,1,0
201,485,2,2026-03-28,29,578,19,1027,5002,593,1,0
202,488,1,2024-04-11,29,569,66,1259,5009,597,1,0
203,491,2,2024-08-24,29,555,49,1018,5002,600,1,0
204,492,2,2026-05-24,29,567,41,1194,5003,601,1,0
205,495,1,2025-06-04,29,577,16,1115,5009,605,1,0
206,501,2,2025-11-08,29,571,25,1143,5023,612,1,0
207,502,1,2026-06-16,29,567,43,1155,5004,613,1,0
208,508,1,2025-07-09,29,555,51,1257,5019,620,1,0
209,509,1,2024-04-28,29,577,17,1157,5003,622,1,0
210,513,2,2024-11-20,29,569,69,1161,5019,627,1,0
211,515,2,2026-02-04,29,568,39,1146,5022,629,1,0
212,517,2,2024-10-21,29,567,43,1151,5006,632,1,0
213,518,1,2024-05-30,29,571,24,1118,5022,634,1,0
214,519,1,2024-05-30,29,581,29,1008,5006,635,1,0
215,520,1,2026-06-30,29,567,44,1173,5002,637,1,0
216,521,1,2025-01-25,29,584,9,1060,5016,638,1,0
217,524,2,2025-10-02,29,574,34,1262,5001,641,1,0
218,527,2,2025-10-08,29,555,49,1175,5003,644,1,0
219,528,1,2024-07-19,29,582,30,1220,5021,646,1,0
220,529,1,2025-03-23,29,584,9,1077,5018,647,1,0
221,530,2,2024-05-30,29,567,43,1017,5015,649,1,0
222,533,2,2024-08-08,29,579,58,1032,5016,652,1,0
223,534,2,2024-09-10,29,583,4,1122,5019,653,1,0
224,537,2,2024-07-10,29,569,67,1121,5014,657,1,0
225,538,1,2024-03-16,29,581,27,1090,5005,659,1,0
226,542,1,2024-11-02,29,571,26,1271,5020,664,1,0
227,543,2,2025-07-21,29,571,24,1180,5001,666,1,0
228,544,2,2024-10-26,29,562,52,1174,5020,667,1,0
229,545,1,2026-08-25,29,573,13,1080,5004,668,1,0
230,546,1,2024-09-18,29,575,62,1272,5004,669,1,0
231,548,1,2024-09-12,29,567,44,1097,5012,672,1,0
232,554,2,2025-07-29,29,577,18,1253,5022,678,1,0
233,555,1,2026-02-01,29,583,6,1189,5015,680,1,0
234,558,1,2024-11-27,29,577,18,1094,5008,683,1,0
235,559,2,2025-04-20,29,573,13,1166,5015,685,1,0
236,561,1,2025-01-06,29,572,2,1096,5016,687,1,0
237,568,2,2025-03-17,29,566,46,1050,5025,696,1,0
238,571,2,2026-07-20,29,577,18,1058,5007,699,1,0
239,572,1,2024-01-30,29,579,58,1058,5009,700,1,0
240,574,2,2026-05-27,29,575,64,1232,5002,702,1,0
241,575,1,2025-03-21,29,582,31,1009,5004,704,1,0
242,577,1,2024-08-03,29,584,7,1227,5025,706,1,0
243,578,1,2024-07-27,29,567,41,1215,5019,707,1,0
244,579,1,2026-04-12,29,579,55,1015,5015,709,1,0
245,581,1,2025-05-09,29,569,67,1056,5001,712,1,0
246,582,2,2026-09-15,29,573,11,1123,5015,713,1,0
247,584,2,2024-04-27,29,568,37,1220,5014,715,1,0
248,590,1,2025-06-28,29,568,37,1048,5004,723,1,0
249,596,2,2024-12-17,29,577,18,1113,5005,731,1,0
250,597,1,2024-08-01,29,573,12,1237,5024,732,1,0
251,598,2,2024-07-18,29,565,60,1052,5003,734,1,0
252,602,2,2024-10-25,29,583,4,1067,5016,739,1,0
253,606,2,2026-01-27,29,579,56,1094,5001,743,1,0
254,607,1,2025-10-13,29,578,22,1011,5007,744,1,0
255,612,1,2026-01-01,29,567,42,1068,5007,750,1,0
256,613,2,2026-07-21,29,571,25,1101,5022,752,1,0
257,615,2,2024-09-11,29,583,6,1171,5002,754,1,0
258,617,1,2026-06-02,29,571,26,1116,5024,757,1,0
259,618,2,2026-04-22,29,579,55,1023,5010,759,1,0
260,619,1,2024-07-16,29,572,2,1242,5024,761,1,0
261,621,2,2024-05-25,29,565,60,1271,5002,763,1,0
262,622,2,2026-02-18,29,582,30,1249,5018,765,1,0
263,626,2,2026-02-08,29,565,60,1117,5004,771,1,0
264,627,2,2025-04-21,29,583,6,1019,5010,772,1,0
265,631,1,2025-09-14,29,579,58,1222,5014,776,1,0
266,632,2,2025-03-02,29,572,2,1056,5013,778,1,0
267,633,2,2025-12-07,29,582,33,1071,5013,779,1,0
268,638,2,2024-04-20,29,566,46,1198,5017,785,1,0
269,639,1,2026-07-29,29,575,63,1142,5020,786,1,0
270,640,2,2025-11-25,29,578,21,1239,5007,788,1,0
271,643,1,2025-05-04,29,555,50,1213,5012,791,1,0
272,646,1,2026-09-23,29,568,37,1077,5013,795,1,0
273,647,1,2025-03-04,29,584,9,1188,5012,797,1,0
274,648,1,2024-08-03,29,581,28,1187,5019,799,1,0
275,650,2,2024-09-12,29,567,42,1128,5002,802,1,0
276,660,2,2024-05-01,29,579,58,1096,5018,812,1,0
277,661,1,2025-09-27,29,555,50,1148,5016,814,1,0
278,666,1,2025-05-30,29,581,27,1139,5006,820,1,0
279,667,1,2025-12-03,29,577,15,1261,5021,822,1,0
280,670,1,2025-05-23,29,571,26,1199,5008,825,1,0
281,672,2,2026-06-07,29,578,21,1149,5007,827,1,0
282,673,1,2025-04-19,29,577,15,1252,5008,828,1,0
283,676,1,2026-03-30,29,582,32,1134,5013,831,1,0
284,678,1,2024-06-29,29,571,26,1010,5015,834,1,0
285,680,1,2024-01-25,29,571,26,1025,5010,837,1,0
286,682,1,2025-05-13,29,569,67,1003,5025,840,1,0
287,684,1,2026-06-07,29,565,61,1046,5005,842,1,0
288,686,1,2024-02-17,29,582,32,1153,5018,845,1,0
289,687,1,2024-09-17,29,555,51,1176,5024,846,1,0
290,688,2,2026-02-20,29,562,53,1239,5025,848,1,0
291,696,2,2026-07-11,29,566,45,1036,5017,858,1,0
292,697,2,2024-12-29,29,571,25,1129,5017,860,1,0
293,698,2,2026-02-14,29,573,13,1147,5001,861,1,0
294,699,1,2025-09-19,29,562,52,1170,5014,862,1,0
295,700,1,2025-04-01,29,573,11,1133,5007,864,1,0
296,701,2,2026-03-25,29,582,31,1181,5020,865,1,0
297,703,1,2025-10-27,29,565,60,1263,5025,868,1,0
298,704,1,2025-11-28,29,582,31,1074,5004,869,1,0
299,705,1,2024-07-18,29,581,28,1041,5015,871,1,0
300,710,1,2024-03-14,29,567,41,1043,5023,877,1,0
301,712,2,2026-06-08,29,578,19,1263,5001,879,1,0
302,714,1,2025-10-15,29,574,36,1115,5003,881,1,0
303,717,1,2025-02-16,29,583,4,1062,5008,886,1,0
304,719,2,2025-08-29,29,572,1,1114,5004,888,1,0
305,721,2,2025-08-12,29,555,49,1150,5007,890,1,0
306,722,1,2025-08-05,29,567,43,1156,5012,892,1,0
307,723,2,2025-02-08,29,573,14,1266,5007,893,1,0
308,726,2,2024-10-12,29,573,12,1227,5025,897,1,0
309,727,1,2025-06-09,29,579,56,1107,5024,899,1,0
310,729,1,2025-10-20,29,569,69,1268,5013,901,1,0
311,732,1,2024-09-03,29,572,3,1079,5001,905,1,0
312,734,1,2025-03-20,29,565,61,1031,5020,908,1,0
313,735,2,2024-09-21,29,574,36,1133,5008,910,1,0
314,736,1,2024-06-18,29,584,9,1244,5009,912,1,0
315,741,2,2024-05-05,29,584,9,1081,5003,917,1,0
316,745,2,2024-10-31,29,573,13,1175,5022,922,1,0
317,746,2,2024-10-03,29,575,62,1092,5018,924,1,0
318,747,2,2025-05-01,29,566,47,1025,5023,925,1,0
319,749,1,2024-08-18,29,555,48,1126,5019,928,1,0
320,755,1,2025-12-26,29,577,16,1259,5020,936,1,0
321,761,1,2026-04-09,29,573,14,1181,5020,943,1,0
322,762,2,2025-01-27,29,579,55,1012,5009,945,1,0
323,763,2,2026-09-25,29,572,3,1047,5004,947,1,0
324,764,2,2024-09-06,29,571,24,1264,5014,948,1,0
325,765,1,2025-02-05,29,569,69,1115,5022,950,1,0
326,768,2,2025-01-18,29,582,31,1136,5010,954,1,0
327,771,1,2026-04-12,29,568,40,1132,5018,957,1,0
328,772,2,2025-08-04,29,571,24,1046,5007,959,1,0
329,774,1,2025-04-10,29,578,19,1103,5011,962,1,0
330,776,1,2024-12-15,29,571,25,1019,5008,965,1,0
331,777,2,2024-09-29,29,579,56,1036,5020,967,1,0
332,780,2,2025-12-09,29,578,19,1048,5016,970,1,0
333,787,1,2024-12-15,29,581,28,1179,5002,978,1,0
334,788,2,2025-05-07,29,574,35,1096,5021,980,1,0
335,790,1,2025-11-22,29,573,13,1030,5011,983,1,0
336,791,1,2025-03-06,29,567,42,1164,5005,985,1,0
337,792,2,2025-06-03,29,565,60,1200,5011,987,1,0
338,796,1,2025-05-17,29,579,55,1061,5018,992,1,0
339,797,2,2025-10-15,29,568,40,1180,5023,993,1,0
340,799,2,2025-03-25,29,555,49,1056,5001,996,1,0
341,800,1,2025-01-06,29,573,11,1230,5006,997,1,0
342,801,2,2026-05-26,29,582,31,1069,5010,999,1,0
343,807,1,2026-05-22,29,562,54,1096,5024,1006,1,0
344,808,2,2024-06-19,29,577,16,1184,5005,1008,1,0
345,812,1,2025-02-13,29,572,1,1187,5008,1013,1,0
346,813,1,2024-09-11,29,575,62,1132,5010,1014,1,0
347,814,1,2024-04-16,29,578,20,1000,5002,1016,1,0
348,817,1,2025-11-28,29,574,35,1229,5020,1020,1,0
349,820,2,2024-10-10,29,575,62,1231,5020,1024,1,0
350,821,2,2025-01-10,29,555,51,1210,5020,1025,1,0
351,822,2,2025-08-18,29,568,39,1076,5015,1027,1,0
352,831,2,2024-04-25,29,575,63,1249,5002,1037,1,0
353,832,2,2025-12-28,29,572,3,1116,5005,1038,1,0
354,833,2,2025-06-01,29,573,13,1118,5001,1040,1,0
355,834,2,2025-05-24,29,578,20,1103,5006,1042,1,0
356,835,2,2025-08-28,29,577,17,1118,5018,1044,1,0
357,839,2,2024-08-31,29,581,29,1092,5006,1048,1,0
358,846,1,2024-02-24,29,584,7,1201,5009,1055,1,0
359,848,1,2024-06-24,29,583,4,1255,5014,1058,1,0
360,851,1,2026-09-27,29,571,23,1029,5015,1061,1,0
361,854,2,2024-12-02,29,565,61,1105,5003,1065,1,0
362,855,1,2024-10-15,29,577,17,1087,5014,1067,1,0
363,856,2,2025-03-11,29,572,3,1076,5014,1069,1,0
364,857,1,2024-12-21,29,577,16,1025,5021,1071,1,0
365,858,1,2024-06-28,29,573,12,1183,5018,1072,1,0
366,860,2,2024-04-22,29,565,60,1144,5014,1075,1,0
367,861,2,2024-09-16,29,581,29,1149,5019,1077,1,0
368,863,1,2025-06-05,29,567,41,1201,5016,1080,1,0
369,864,2,2024-09-19,29,569,69,1166,5024,1081,1,0
370,865,1,2024-08-02,29,584,7,1204,5002,1083,1,0
371,867,1,2024-05-08,29,567,43,1126,5019,1086,1,0
372,868,2,2025-02-02,29,579,57,1085,5019,1087,1,0
373,871,2,2026-08-09,29,562,54,1143,5023,1090,1,0
374,878,1,2025-09-02,29,569,67,1108,5009,1098,1,0
375,879,1,2026-05-13,29,555,48,1200,5004,1099,1,0
376,888,2,2026-03-03,29,566,46,1100,5001,1109,1,0
377,889,2,2024-05-24,29,568,38,1172,5013,1110,1,0
378,891,2,2024-02-29,29,569,66,1053,5002,1112,1,0
379,893,2,2025-09-11,29,584,10,1076,5006,1114,1,0
380,896,2,2025-08-09,29,579,55,1211,5002,1119,1,0
381,899,2,2026-02-14,29,575,64,1041,5001,1123,1,0
382,902,1,2024-04-05,29,572,3,1244,5013,1127,1,0
383,904,1,2025-02-13,29,574,35,1106,5007,1130,1,0
384,905,2,2024-06-22,29,577,18,1047,5024,1131,1,0
385,907,2,2025-11-17,29,568,37,1224,5001,1134,1,0
386,908,1,2026-02-21,29,574,36,1072,5015,1136,1,0
387,909,1,2026-01-24,29,571,26,1234,5013,1137,1,0
388,910,2,2024-12-27,29,584,10,1141,5007,1139,1,0
389,912,1,2024-08-29,29,572,2,1135,5006,1142,1,0
390,913,2,2026-01-30,29,568,37,1091,5015,1144,1,0
391,916,1,2026-03-09,29,575,64,1143,5009,1147,1,0
392,917,2,2025-05-28,29,574,35,1114,5010,1149,1,0
393,920,2,2024-12-16,29,562,52,1198,5014,1154,1,0
394,921,2,2024-10-21,29,565,60,1051,5009,1155,1,0
395,923,2,2024-10-15,29,568,39,1235,5013,1158,1,0
396,924,2,2025-06-28,29,581,28,1139,5009,1160,1,0
397,927,1,2024-07-10,29,572,2,1209,5020,1163,1,0
398,928,1,2025-10-17,29,572,1,1205,5003,1164,1,0
399,930,1,2024-05-14,29,577,15,1019,5025,1166,1,0
400,932,2,2024-12-30,29,582,31,1271,5009,1168,1,0
401,934,1,2024-06-17,29,555,50,1110,5005,1171,1,0
402,935,1,2024-06-07,29,581,27,1256,5020,1173,1,0
403,936,2,2025-05-01,29,574,35,1104,5009,1175,1,0
404,938,2,2025-05-05,29,567,43,1214,5011,1177,1,0
405,940,1,2025-04-14,29,573,14,1094,5013,1179,1,0
406,941,1,2024-09-12,29,566,47,1257,5021,1180,1,0
407,942,2,2025-08-14,29,578,20,1052,5020,1182,1,0
408,943,2,2024-09-11,29,572,3,1196,5006,1184,1,0
409,944,2,2025-12-26,29,566,47,1112,5007,1186,1,0
410,945,2,2025-11-05,29,565,60,1059,5012,1188,1,0
411,946,1,2025-07-09,29,571,23,1236,5009,1189,1,0
412,947,1,2024-06-14,29,562,52,1153,5009,1190,1,0
413,948,2,2026-01-23,29,569,68,1175,5006,1192,1,0
414,949,1,2025-05-07,29,575,63,1150,5011,1194,1,0
415,950,2,2024-09-17,29,584,7,1133,5020,1196,1,0
416,953,2,2026-03-25,29,574,35,1083,5023,1200,1,0
417,954,1,2025-11-29,29,565,61,1204,5017,1201,1,0
418,955,1,2024-08-10,29,577,16,1210,5010,1203,1,0
419,956,1,2026-10-07,29,577,16,1020,5001,1204,1,0
420,958,2,2026-08-06,29,572,1,1067,5013,1207,1,0
421,959,2,2024-09-03,29,581,27,1196,5023,1209,1,0
422,960,1,2025-12-07,29,575,63,1218,5022,1211,1,0
423,964,2,2024-04-07,29,567,44,1218,5007,1217,1,0
424,965,1,2026-09-25,29,567,44,1192,5017,1219,1,0
425,967,2,2024-07-23,29,583,6,1190,5018,1221,1,0
426,968,1,2025-01-11,29,582,30,1122,5021,1223,1,0
427,970,2,2024-05-15,29,584,9,1009,5008,1226,1,0
428,972,2,2025-06-18,29,578,22,1188,5014,1229,1,0
429,974,1,2026-03-07,29,584,10,1004,5016,1231,1,0
430,975,2,2026-02-12,29,575,62,1100,5011,1232,1,0
431,976,1,2024-10-15,29,583,6,1256,5015,1234,1,0
432,977,1,2025-04-03,29,583,6,1033,5008,1235,1,0
433,978,2,2024-10-09,29,569,68,1076,5010,1237,1,0
434,979,1,2025-03-12,29,581,29,1240,5013,1238,1,0
435,981,1,2024-11-22,29,571,25,1247,5012,1240,1,0
436,985,2,2025-06-10,29,577,15,1264,5025,1245,1,0
437,986,1,2025-10-18,29,562,54,1212,5017,1247,1,0
438,987,1,2024-12-26,29,571,26,1218,5008,1249,1,0
439,988,2,2024-08-19,29,568,39,1087,5006,1250,1,0
440,993,1,2025-11-05,29,568,38,1013,5014,1255,1,0
441,995,1,2024-07-07,29,567,42,1091,5014,1257,1,0
