InvOccuranceTimeID,CaseMasterID,OccuranceFromDate,OccuranceToDate,DayNight
142,142,2026-04-19 18:48:00,2026-04-19 18:48:00,Day
143,143,2025-07-24 23:02:00,2025-07-24 23:02:00,Night
144,144,2026-01-29 05:04:00,2026-01-29 08:04:00,Night
145,145,2024-07-02 12:38:00,2024-07-02 14:38:00,Day
146,146,2026-06-24 22:10:00,2026-06-25 00:10:00,Night
147,147,2025-02-25 11:03:00,2025-02-25 14:03:00,Day
148,148,2025-12-08 21:13:00,2025-12-08 21:13:00,Night
149,149,2025-11-18 17:11:00,2025-11-18 17:11:00,Day
150,150,2026-04-23 09:41:00,2026-04-23 12:41:00,Day
151,151,2025-11-18 21:56:00,2025-11-18 23:56:00,Night
152,152,2025-05-01 21:15:00,2025-05-02 00:15:00,Night
153,153,2024-08-03 05:58:00,2024-08-03 06:58:00,Night
154,154,2025-08-12 02:07:00,2025-08-12 02:07:00,Night
155,155,2025-09-06 08:09:00,2025-09-06 11:09:00,Day
156,156,2024-03-28 00:30:00,2024-03-28 03:30:00,Night
157,157,2024-04-01 10:45:00,2024-04-01 12:45:00,Day
158,158,2025-12-23 14:27:00,2025-12-23 14:27:00,Day
159,159,2025-11-28 21:07:00,2025-11-28 21:07:00,Night
160,160,2024-07-01 07:49:00,2024-07-01 08:49:00,Day
161,161,2025-03-20 20:27:00,2025-03-20 23:27:00,Night
162,162,2024-04-06 14:42:00,2024-04-06 17:42:00,Day
163,163,2026-06-11 21:06:00,2026-06-11 23:06:00,Night
164,164,2026-05-12 20:54:00,2026-05-12 23:54:00,Night
165,165,2025-05-12 16:37:00,2025-05-12 19:37:00,Day
166,166,2025-09-08 22:42:00,2025-09-08 22:42:00,Night
167,167,2026-04-27 16:02:00,2026-04-27 18:02:00,Day
168,168,2025-01-05 05:46:00,2025-01-05 05:46:00,Night
169,169,2026-04-01 13:26:00,2026-04-01 13:26:00,Day
170,170,2025-12-18 12:28:00,2025-12-18 14:28:00,Day
171,171,2024-09-22 20:32:00,2024-09-22 21:32:00,Night
172,172,2024-03-24 02:03:00,2024-03-24 05:03:00,Night
173,173,2024-05-03 11:36:00,2024-05-03 13:36:00,Day
174,174,2026-02-19 04:32:00,2026-02-19 07:32:00,Night
175,175,2024-01-20 03:42:00,2024-01-20 03:42:00,Night
176,176,2024-09-18 02:09:00,2024-09-18 04:09:00,Night
177,177,2024-10-02 17:37:00,2024-10-02 20:37:00,Day
178,178,2026-05-12 20:13:00,2026-05-12 22:13:00,Night
179,179,2025-11-19 05:26:00,2025-11-19 07:26:00,Night
180,180,2025-05-20 11:02:00,2025-05-20 12:02:00,Day
181,181,2025-05-22 11:33:00,2025-05-22 12:33:00,Day
182,182,2026-05-10 08:15:00,2026-05-10 11:15:00,Day
183,183,2024-08-26 19:50:00,2024-08-26 21:50:00,Night
184,184,2024-07-09 07:08:00,2024-07-09 09:08:00,Day
185,185,2024-12-15 06:42:00,2024-12-15 07:42:00,Day
186,186,2024-10-24 14:12:00,2024-10-24 15:12:00,Day
187,187,2025-06-23 19:56:00,2025-06-23 20:56:00,Night
188,188,2026-02-08 20:48:00,2026-02-08 21:48:00,Night
189,189,2024-08-23 18:02:00,2024-08-23 18:02:00,Day
190,190,2024-09-13 09:47:00,2024-09-13 09:47:00,Day
191,191,2025-03-15 22:26:00,2025-03-15 23:26:00,Night
192,192,2025-05-01 03:21:00,2025-05-01 03:21:00,Night
193,193,2026-06-05 06:08:00,2026-06-05 09:08:00,Day
194,194,2025-02-04 19:52:00,2025-02-04 19:52:00,Night
195,195,2025-05-31 10:26:00,2025-05-31 10:26:00,Day
196,196,2024-05-07 17:47:00,2024-05-07 20:47:00,Day
197,197,2024-01-29 00:21:00,2024-01-29 01:21:00,Night
198,198,2024-08-05 14:14:00,2024-08-05 14:14:00,Day
199,199,2024-01-22 19:48:00,2024-01-22 19:48:00,Night
200,200,2024-09-05 06:34:00,2024-09-05 06:34:00,Day
201,201,2025-08-13 14:40:00,2025-08-13 14:40:00,Day
202,202,2024-07-19 04:58:00,2024-07-19 04:58:00,Night
203,203,2024-09-24 19:29:00,2024-09-24 19:29:00,Night
204,204,2026-04-13 04:17:00,2026-04-13 07:17:00,Night
205,205,2024-03-01 23:11:00,2024-03-01 23:11:00,Night
206,206,2025-09-09 16:48:00,2025-09-09 16:48:00,Day
207,207,2025-10-10 11:55:00,2025-10-10 11:55:00,Day
208,208,2024-09-06 06:10:00,2024-09-06 07:10:00,Day
209,209,2026-04-07 07:14:00,2026-04-07 07:14:00,Day
210,210,2026-05-07 07:31:00,2026-05-07 10:31:00,Day
211,211,2024-11-02 21:58:00,2024-11-02 22:58:00,Night
212,212,2024-08-11 23:12:00,2024-08-12 01:12:00,Night
213,213,2026-03-05 22:50:00,2026-03-05 22:50:00,Night
214,214,2024-03-06 22:58:00,2024-03-06 23:58:00,Night
215,215,2025-07-29 08:54:00,2025-07-29 11:54:00,Day
216,216,2025-09-08 17:13:00,2025-09-08 18:13:00,Day
217,217,2024-03-08 10:40:00,2024-03-08 12:40:00,Day
218,218,2024-01-10 21:32:00,2024-01-10 23:32:00,Night
219,219,2024-06-18 18:03:00,2024-06-18 18:03:00,Day
220,220,2026-05-09 04:32:00,2026-05-09 06:32:00,Night
221,221,2024-04-19 00:22:00,2024-04-19 00:22:00,Night
222,222,2024-05-23 11:47:00,2024-05-23 12:47:00,Day
223,223,2025-05-27 00:49:00,2025-05-27 01:49:00,Night
224,224,2024-08-22 03:08:00,2024-08-22 05:08:00,Night
225,225,2024-08-05 09:30:00,2024-08-05 11:30:00,Day
226,226,2024-03-17 17:39:00,2024-03-17 20:39:00,Day
227,227,2025-09-13 08:13:00,2025-09-13 08:13:00,Day
228,228,2025-10-26 11:40:00,2025-10-26 12:40:00,Day
229,229,2024-06-08 14:14:00,2024-06-08 15:14:00,Day
230,230,2026-01-11 16:08:00,2026-01-11 16:08:00,Day
231,231,2025-07-10 22:17:00,2025-07-10 23:17:00,Night
232,232,2024-05-01 11:59:00,2024-05-01 11:59:00,Day
233,233,2024-04-25 18:27:00,2024-04-25 20:27:00,Day
234,234,2025-12-20 02:15:00,2025-12-20 05:15:00,Night
235,235,2024-01-31 04:23:00,2024-01-31 07:23:00,Night
236,236,2025-07-21 22:53:00,2025-07-21 22:53:00,Night
237,237,2024-04-16 02:23:00,2024-04-16 03:23:00,Night
238,238,2026-02-08 09:25:00,2026-02-08 12:25:00,Day
239,239,2024-10-24 11:39:00,2024-10-24 13:39:00,Day
240,240,2024-07-02 22:49:00,2024-07-03 00:49:00,Night
241,241,2025-01-19 05:36:00,2025-01-19 06:36:00,Night
242,242,2025-10-17 06:20:00,2025-10-17 07:20:00,Day
243,243,2024-07-22 11:26:00,2024-07-22 13:26:00,Day
244,244,2025-03-06 22:34:00,2025-03-06 22:34:00,Night
245,245,2025-07-09 13:24:00,2025-07-09 13:24:00,Day
246,246,2026-04-20 20:45:00,2026-04-20 23:45:00,Night
247,247,2026-03-31 18:27:00,2026-03-31 21:27:00,Day
248,248,2026-01-30 23:08:00,2026-01-31 01:08:00,Night
249,249,2024-04-05 02:31:00,2024-04-05 05:31:00,Night
250,250,2024-07-16 19:01:00,2024-07-16 22:01:00,Night
251,251,2025-03-19 14:27:00,2025-03-19 16:27:00,Day
252,252,2024-01-10 10:44:00,2024-01-10 12:44:00,Day
253,253,2025-08-28 12:15:00,2025-08-28 15:15:00,Day
254,254,2024-02-18 00:08:00,2024-02-18 00:08:00,Night
255,255,2025-06-18 16:15:00,2025-06-18 17:15:00,Day
256,256,2026-05-18 16:06:00,2026-05-18 16:06:00,Day
257,257,2024-09-28 03:59:00,2024-09-28 06:59:00,Night
258,258,2024-09-01 02:34:00,2024-09-01 04:34:00,Night
259,259,2025-03-14 10:01:00,2025-03-14 12:01:00,Day
260,260,2025-12-28 10:57:00,2025-12-28 13:57:00,Day
261,261,2024-10-09 09:12:00,2024-10-09 10:12:00,Day
262,262,2024-01-06 13:22:00,2024-01-06 13:22:00,Day
263,263,2025-11-26 10:51:00,2025-11-26 13:51:00,Day
264,264,2025-01-17 04:39:00,2025-01-17 04:39:00,Night
265,265,2026-04-04 15:39:00,2026-04-04 18:39:00,Day
266,266,2024-05-25 23:42:00,2024-05-26 02:42:00,Night
267,267,2026-05-26 16:13:00,2026-05-26 18:13:00,Day
268,268,2025-11-26 15:20:00,2025-11-26 17:20:00,Day
269,269,2024-07-25 23:10:00,2024-07-26 00:10:00,Night
270,270,2024-05-10 16:19:00,2024-05-10 18:19:00,Day
271,271,2026-06-28 01:08:00,2026-06-28 04:08:00,Night
272,272,2024-02-23 12:49:00,2024-02-23 13:49:00,Day
273,273,2025-09-08 20:56:00,2025-09-08 23:56:00,Night
274,274,2024-05-20 16:14:00,2024-05-20 19:14:00,Day
275,275,2024-02-23 21:19:00,2024-02-23 21:19:00,Night
276,276,2024-09-12 17:18:00,2024-09-12 20:18:00,Day
277,277,2024-09-21 08:16:00,2024-09-21 10:16:00,Day
278,278,2025-06-07 02:15:00,2025-06-07 04:15:00,Night
279,279,2026-02-19 20:05:00,2026-02-19 22:05:00,Night
280,280,2024-03-19 11:41:00,2024-03-19 13:41:00,Day
281,281,2026-01-30 03:08:00,2026-01-30 05:08:00,Night
282,282,2026-02-14 15:44:00,2026-02-14 15:44:00,Day
283,283,2024-04-11 11:18:00,2024-04-11 12:18:00,Day
284,284,2026-06-29 13:31:00,2026-06-29 13:31:00,Day
285,285,2024-10-16 04:12:00,2024-10-16 05:12:00,Night
286,286,2024-04-08 07:07:00,2024-04-08 10:07:00,Day
287,287,2025-07-29 10:16:00,2025-07-29 13:16:00,Day
288,288,2025-11-01 01:33:00,2025-11-01 01:33:00,Night
289,289,2026-04-12 12:41:00,2026-04-12 15:41:00,Day
290,290,2025-05-09 09:58:00,2025-05-09 10:58:00,Day
291,291,2024-03-26 04:25:00,2024-03-26 06:25:00,Night
292,292,2025-03-11 22:04:00,2025-03-11 23:04:00,Night
293,293,2025-06-15 19:16:00,2025-06-15 21:16:00,Night
294,294,2024-10-08 09:52:00,2024-10-08 11:52:00,Day
295,295,2026-04-02 19:09:00,2026-04-02 22:09:00,Night
296,296,2025-07-25 13:41:00,2025-07-25 16:41:00,Day
297,297,2025-10-02 01:36:00,2025-10-02 02:36:00,Night
298,298,2025-08-23 23:23:00,2025-08-24 00:23:00,Night
299,299,2024-07-09 10:37:00,2024-07-09 11:37:00,Day
300,300,2025-12-15 14:16:00,2025-12-15 17:16:00,Day
301,301,2025-11-05 18:57:00,2025-11-05 19:57:00,Day
302,302,2024-04-20 13:27:00,2024-04-20 15:27:00,Day
303,303,2026-05-28 06:27:00,2026-05-28 09:27:00,Day
304,304,2025-01-12 11:21:00,2025-01-12 12:21:00,Day
305,305,2026-04-02 00:10:00,2026-04-02 03:10:00,Night
306,306,2025-03-21 01:29:00,2025-03-21 03:29:00,Night
307,307,2025-07-01 03:08:00,2025-07-01 04:08:00,Night
308,308,2026-05-06 13:07:00,2026-05-06 13:07:00,Day
309,309,2025-09-05 20:20:00,2025-09-05 20:20:00,Night
310,310,2024-03-26 06:47:00,2024-03-26 06:47:00,Day
311,311,2024-07-01 05:49:00,2024-07-01 08:49:00,Night
312,312,2025-11-02 05:43:00,2025-11-02 08:43:00,Night
313,313,2025-04-13 11:46:00,2025-04-13 12:46:00,Day
314,314,2026-06-01 12:04:00,2026-06-01 12:04:00,Day
315,315,2024-09-05 15:13:00,2024-09-05 17:13:00,Day
316,316,2024-06-07 23:51:00,2024-06-08 02:51:00,Night
317,317,2025-11-15 02:21:00,2025-11-15 03:21:00,Night
318,318,2025-12-07 20:54:00,2025-12-07 22:54:00,Night
319,319,2024-04-12 17:37:00,2024-04-12 19:37:00,Day
320,320,2026-02-13 05:31:00,2026-02-13 05:31:00,Night
321,321,2026-05-22 05:39:00,2026-05-22 06:39:00,Night
322,322,2025-04-12 08:01:00,2025-04-12 11:01:00,Day
323,323,2024-03-01 03:03:00,2024-03-01 05:03:00,Night
324,324,2026-02-04 06:11:00,2026-02-04 09:11:00,Day
325,325,2025-07-25 03:34:00,2025-07-25 05:34:00,Night
326,326,2026-05-26 07:37:00,2026-05-26 07:37:00,Day
327,327,2024-08-10 11:01:00,2024-08-10 14:01:00,Day
328,328,2025-04-12 00:00:00,2025-04-12 03:00:00,Night
329,329,2024-03-03 19:51:00,2024-03-03 22:51:00,Night
330,330,2026-02-19 19:46:00,2026-02-19 19:46:00,Night
331,331,2025-11-06 02:47:00,2025-11-06 04:47:00,Night
332,332,2025-02-10 10:00:00,2025-02-10 12:00:00,Day
333,333,2024-08-20 14:53:00,2024-08-20 15:53:00,Day
334,334,2026-05-28 06:17:00,2026-05-28 08:17:00,Day
335,335,2026-05-04 11:04:00,2026-05-04 11:04:00,Day
336,336,2024-04-25 20:29:00,2024-04-25 20:29:00,Night
337,337,2024-08-14 18:27:00,2024-08-14 18:27:00,Day
338,338,2024-08-09 18:11:00,2024-08-09 21:11:00,Day
339,339,2026-01-09 02:40:00,2026-01-09 04:40:00,Night
340,340,2026-01-03 10:34:00,2026-01-03 12:34:00,Day
341,341,2025-10-04 18:56:00,2025-10-04 19:56:00,Day
342,342,2025-04-16 19:28:00,2025-04-16 21:28:00,Night
343,343,2026-06-02 00:39:00,2026-06-02 00:39:00,Night
344,344,2025-12-25 13:56:00,2025-12-25 13:56:00,Day
345,345,2025-07-02 06:22:00,2025-07-02 06:22:00,Day
346,346,2026-03-13 14:07:00,2026-03-13 14:07:00,Day
347,347,2025-02-17 13:24:00,2025-02-17 13:24:00,Day
348,348,2025-06-04 11:43:00,2025-06-04 14:43:00,Day
349,349,2025-09-28 21:16:00,2025-09-29 00:16:00,Night
350,350,2024-07-06 17:20:00,2024-07-06 20:20:00,Day
351,351,2025-03-24 23:09:00,2025-03-25 02:09:00,Night
352,352,2024-10-21 17:10:00,2024-10-21 18:10:00,Day
353,353,2025-12-03 19:24:00,2025-12-03 21:24:00,Night
354,354,2024-08-01 12:26:00,2024-08-01 13:26:00,Day
355,355,2024-11-03 19:26:00,2024-11-03 20:26:00,Night
356,356,2026-06-01 01:21:00,2026-06-01 03:21:00,Night
357,357,2025-12-07 07:07:00,2025-12-07 08:07:00,Day
358,358,2024-04-23 21:12:00,2024-04-23 21:12:00,Night
359,359,2024-12-06 17:02:00,2024-12-06 19:02:00,Day
360,360,2024-09-05 02:11:00,2024-09-05 04:11:00,Night
361,361,2025-05-02 06:45:00,2025-05-02 07:45:00,Day
362,362,2025-06-02 20:18:00,2025-06-02 20:18:00,Night
363,363,2024-11-16 17:47:00,2024-11-16 20:47:00,Day
364,364,2024-06-02 08:21:00,2024-06-02 08:21:00,Day
365,365,2025-09-05 04:33:00,2025-09-05 05:33:00,Night
366,366,2026-06-20 03:24:00,2026-06-20 04:24:00,Night
367,367,2026-04-23 20:12:00,2026-04-23 22:12:00,Night
368,368,2026-02-15 10:06:00,2026-02-15 13:06:00,Day
369,369,2024-11-27 18:48:00,2024-11-27 20:48:00,Day
370,370,2024-06-11 03:48:00,2024-06-11 04:48:00,Night
371,371,2024-02-11 06:37:00,2024-02-11 08:37:00,Day
372,372,2026-02-27 12:13:00,2026-02-27 13:13:00,Day
373,373,2026-03-25 21:54:00,2026-03-25 21:54:00,Night
374,374,2024-05-03 20:47:00,2024-05-03 20:47:00,Night
375,375,2024-06-28 00:36:00,2024-06-28 03:36:00,Night
376,376,2025-07-11 05:23:00,2025-07-11 07:23:00,Night
377,377,2026-06-30 01:21:00,2026-06-30 01:21:00,Night
378,378,2025-10-17 20:29:00,2025-10-17 20:29:00,Night
379,379,2025-02-01 11:13:00,2025-02-01 11:13:00,Day
380,380,2024-09-04 19:30:00,2024-09-04 19:30:00,Night
381,381,2025-03-12 03:43:00,2025-03-12 06:43:00,Night
382,382,2025-03-22 17:44:00,2025-03-22 18:44:00,Day
383,383,2025-01-15 01:32:00,2025-01-15 04:32:00,Night
384,384,2024-09-09 20:48:00,2024-09-09 23:48:00,Night
385,385,2025-12-22 04:49:00,2025-12-22 07:49:00,Night
386,386,2025-08-02 06:22:00,2025-08-02 08:22:00,Day
387,387,2025-07-04 10:09:00,2025-07-04 12:09:00,Day
388,388,2026-05-17 02:17:00,2026-05-17 05:17:00,Night
389,389,2026-04-08 15:07:00,2026-04-08 18:07:00,Day
390,390,2026-03-19 16:21:00,2026-03-19 17:21:00,Day
391,391,2025-12-31 00:24:00,2025-12-31 03:24:00,Night
392,392,2024-09-13 02:33:00,2024-09-13 02:33:00,Night
393,393,2025-06-30 03:49:00,2025-06-30 03:49:00,Night
394,394,2025-10-17 19:48:00,2025-10-17 21:48:00,Night
395,395,2025-01-26 12:19:00,2025-01-26 14:19:00,Day
396,396,2025-01-18 01:22:00,2025-01-18 03:22:00,Night
397,397,2025-08-22 03:56:00,2025-08-22 05:56:00,Night
398,398,2025-07-14 18:16:00,2025-07-14 18:16:00,Day
399,399,2025-11-29 08:51:00,2025-11-29 08:51:00,Day
400,400,2025-03-22 12:52:00,2025-03-22 15:52:00,Day
401,401,2024-04-04 22:41:00,2024-04-04 22:41:00,Night
402,402,2024-06-10 20:49:00,2024-06-10 22:49:00,Night
403,403,2024-03-01 18:56:00,2024-03-01 20:56:00,Day
404,404,2025-11-05 12:50:00,2025-11-05 12:50:00,Day
405,405,2025-12-29 10:51:00,2025-12-29 13:51:00,Day
406,406,2025-04-30 13:59:00,2025-04-30 14:59:00,Day
407,407,2025-05-23 18:13:00,2025-05-23 18:13:00,Day
408,408,2025-07-09 22:35:00,2025-07-10 01:35:00,Night
409,409,2026-01-12 00:58:00,2026-01-12 03:58:00,Night
410,410,2025-10-19 11:12:00,2025-10-19 11:12:00,Day
411,411,2024-02-09 03:03:00,2024-02-09 03:03:00,Night
412,412,2026-06-28 03:11:00,2026-06-28 03:11:00,Night
413,413,2025-07-08 03:16:00,2025-07-08 04:16:00,Night
414,414,2024-10-02 07:39:00,2024-10-02 08:39:00,Day
415,415,2026-01-04 03:53:00,2026-01-04 05:53:00,Night
416,416,2025-04-19 05:03:00,2025-04-19 05:03:00,Night
417,417,2024-05-16 00:49:00,2024-05-16 02:49:00,Night
418,418,2024-07-17 05:06:00,2024-07-17 05:06:00,Night
419,419,2026-06-06 01:13:00,2026-06-06 03:13:00,Night
420,420,2026-04-16 06:50:00,2026-04-16 07:50:00,Day
421,421,2025-11-08 14:14:00,2025-11-08 14:14:00,Day
